欠压160V,欠压180V,欠压200V,正常220V,老化10Ω,老化50Ω,线圈卡涩,过压240V
4.15333 ,4.73333 ,5.36333 ,6.05333 ,5.63333 ,4.82333 ,5.94667 ,6.43333 
4.18667 ,4.77333 ,5.44333 ,6.07667 ,5.73667 ,4.82333 ,6.04000 ,6.49333 
4.24000 ,4.84000 ,5.39333 ,6.07667 ,5.72333 ,4.84333 ,6.00667 ,6.56667 
4.27667 ,4.87667 ,5.51667 ,6.06333 ,5.73000 ,4.76333 ,6.07000 ,6.59333 
4.31333 ,4.92667 ,5.56000 ,6.10667 ,5.74333 ,4.88000 ,6.10000 ,6.55000 
4.30667 ,4.92000 ,5.54667 ,6.11333 ,5.74667 ,4.91667 ,6.09333 ,6.54333 
4.28333 ,4.94000 ,5.51667 ,6.13667 ,5.76000 ,4.94000 ,6.10000 ,6.64667 
4.27000 ,4.94000 ,5.62000 ,6.18667 ,5.80333 ,4.99333 ,6.13667 ,6.73667 
4.35000 ,4.98667 ,5.68000 ,6.27000 ,5.78000 ,4.97667 ,6.17333 ,6.78000 
4.37333 ,5.06000 ,5.74667 ,6.29667 ,5.85667 ,5.00667 ,6.24667 ,6.78000 
4.44000 ,5.06667 ,5.71667 ,6.35000 ,5.92333 ,4.99000 ,6.25667 ,6.79333 
4.42333 ,5.08333 ,5.74000 ,6.34333 ,5.96000 ,4.91000 ,6.33000 ,6.77333 
4.42333 ,5.09667 ,5.73333 ,6.34333 ,5.97333 ,5.05000 ,6.38000 ,6.78667 
4.43333 ,5.08333 ,5.74667 ,6.33333 ,5.96667 ,5.09667 ,6.36667 ,6.77333 
4.42667 ,5.11333 ,5.76000 ,6.38667 ,5.93667 ,5.13333 ,6.33000 ,6.82333 
4.42333 ,5.08000 ,5.76000 ,6.46000 ,6.03333 ,5.11667 ,6.39000 ,6.88333 
4.42667 ,5.12667 ,5.82000 ,6.53333 ,6.09333 ,5.08000 ,6.44000 ,6.91333 
4.45333 ,5.15667 ,5.88667 ,6.51333 ,6.08333 ,5.09333 ,6.56000 ,6.96333 
4.50000 ,5.19333 ,5.88667 ,6.51000 ,6.09000 ,5.05000 ,6.52333 ,6.94333 
4.52000 ,5.20000 ,5.93000 ,6.49000 ,6.05667 ,5.08667 ,6.50667 ,6.99333 
4.55667 ,5.24333 ,5.94000 ,6.50333 ,6.08333 ,5.09667 ,6.42000 ,6.98000 
4.57333 ,5.26667 ,5.92333 ,6.51000 ,6.04000 ,5.12667 ,6.49000 ,6.94333 
4.48333 ,5.23667 ,5.91000 ,6.52667 ,6.02667 ,5.14667 ,6.50667 ,7.04667 
4.52000 ,5.12000 ,5.99000 ,6.57667 ,6.11333 ,5.20000 ,6.52333 ,7.12000 
4.56667 ,5.27333 ,6.02667 ,6.55667 ,6.13000 ,5.22000 ,6.58667 ,7.10333 
4.59333 ,5.34667 ,6.06333 ,6.63667 ,6.16667 ,5.18333 ,6.59667 ,7.09000 
4.54333 ,5.35333 ,6.04333 ,6.66667 ,6.20333 ,5.13333 ,6.64667 ,7.03667 
4.58000 ,5.32000 ,6.02000 ,6.66667 ,6.18000 ,5.20667 ,6.67667 ,7.06667 
4.53667 ,5.32667 ,5.99667 ,6.61667 ,6.19667 ,5.22667 ,6.67667 ,7.04667 
4.54333 ,5.31000 ,6.01333 ,6.63667 ,6.15667 ,5.28667 ,6.66000 ,7.05333 
4.53667 ,5.30333 ,6.03333 ,6.71000 ,6.18667 ,5.26333 ,6.59667 ,7.07667 
4.55667 ,5.29667 ,6.04000 ,6.76333 ,6.24667 ,5.20667 ,6.69667 ,7.07333 
4.56333 ,5.32000 ,6.09333 ,6.72667 ,6.31333 ,5.20000 ,6.74333 ,7.14333 
4.60333 ,5.37667 ,6.12333 ,6.73333 ,6.30667 ,5.19667 ,6.78667 ,7.17000 
4.59333 ,5.39000 ,6.13667 ,6.71667 ,6.28333 ,5.18333 ,6.75667 ,7.15667 
4.58667 ,5.42000 ,6.14333 ,6.71000 ,6.22333 ,5.21333 ,6.74333 ,7.14000 
4.61000 ,5.39000 ,6.08667 ,6.72000 ,6.22333 ,5.23000 ,6.72667 ,7.08333 
4.60333 ,5.37000 ,6.07667 ,6.71667 ,6.24000 ,5.25000 ,6.72667 ,7.15000 
4.53000 ,5.35667 ,6.16000 ,6.71667 ,6.19667 ,5.30333 ,6.66333 ,7.20667 
4.53667 ,5.39000 ,6.19000 ,6.76333 ,6.27667 ,5.28667 ,6.72000 ,7.23000 
4.64667 ,5.44333 ,6.24000 ,6.78333 ,6.29000 ,5.32333 ,6.78000 ,7.18667 
4.67000 ,5.44333 ,6.14667 ,6.79333 ,6.30000 ,5.22667 ,6.80333 ,7.18000 
4.60333 ,5.45000 ,6.19000 ,6.80667 ,6.32667 ,5.19000 ,6.85333 ,7.15667 
4.62333 ,5.45667 ,6.14667 ,6.77000 ,6.32667 ,5.31667 ,6.84667 ,7.14333 
4.56333 ,5.39333 ,6.15333 ,6.73333 ,6.29000 ,5.32333 ,6.82333 ,7.07667 
4.58667 ,5.40667 ,6.15333 ,6.68333 ,6.19667 ,5.33333 ,6.80000 ,7.13333 
4.58667 ,5.40000 ,6.16667 ,6.81333 ,6.31333 ,5.30333 ,6.83000 ,7.12000 
4.59333 ,5.41333 ,6.17333 ,6.86667 ,6.35667 ,5.27333 ,6.88333 ,7.16333 
4.59333 ,5.42000 ,6.22000 ,6.82333 ,6.36667 ,5.28667 ,6.91333 ,7.21667 
4.62333 ,5.45000 ,6.19000 ,6.80667 ,6.33000 ,5.27333 ,6.90000 ,7.21667 
4.65333 ,5.45667 ,6.24667 ,6.76333 ,6.30000 ,5.28000 ,6.89000 ,7.18000 
4.64667 ,5.50333 ,6.24000 ,6.77667 ,6.27667 ,5.25000 ,6.84667 ,7.14000 
4.55667 ,5.50333 ,6.16667 ,6.77000 ,6.23333 ,5.28667 ,6.83000 ,7.12000 
