正常合闸,正常分闸,虚假合闸,分闸不彻底,储能弹簧卡涩,操作机构卡涩,合闸螺栓松动,分闸螺栓松动
-0.002746582,0.000915527,-0.014953613,0.015563965,-0.167541504,-0.006408691,0.003356934,0.042419434
-0.002746582,0.000915527,-0.01373291,0.016784668,-0.16998291,-0.005187988,0.003356934,0.042419434
-0.001525879,0.00213623,-0.012512207,0.018005371,-0.161437988,-0.005187988,0.003356934,0.042419434
-0.001525879,0.00213623,-0.01373291,0.018005371,-0.149230957,-0.005187988,0.003356934,0.042419434
0.000915527,0.00213623,-0.01739502,0.014343262,-0.141906738,-0.005187988,0.003356934,0.042419434
0.00213623,0.00213623,-0.023498535,0.013122559,-0.133361816,-0.005187988,0.003356934,0.042419434
0.003356934,0.00213623,-0.028381348,0.013122559,-0.101623535,-0.005187988,0.003356934,0.042419434
0.003356934,0.00213623,-0.029602051,0.008239746,-0.044250488,-0.006408691,0.003356934,0.042419434
0.003356934,0.00213623,-0.028381348,-0.000305176,-0.001525879,-0.006408691,0.003356934,0.042419434
0.00213623,0.00213623,-0.028381348,-0.001525879,0.009460449,-0.006408691,0.003356934,0.042419434
-0.001525879,0.00213623,-0.028381348,0.003356934,0.00579834,-0.006408691,0.003356934,0.04119873
-0.006408691,0.00213623,-0.029602051,0.004577637,-0.006408691,-0.006408691,0.003356934,0.042419434
-0.011291504,0.00213623,-0.030822754,0.004577637,-0.023498535,-0.006408691,0.003356934,0.04119873
-0.01373291,0.000915527,-0.034484863,0.00579834,-0.039367676,-0.006408691,0.003356934,0.04119873
-0.012512207,-0.000305176,-0.039367676,0.008239746,-0.063781738,-0.007629395,0.003356934,0.04119873
-0.008850098,0.000915527,-0.043029785,0.013122559,-0.099182129,-0.006408691,0.003356934,0.04119873
-0.006408691,0.003356934,-0.043029785,0.016784668,-0.146789551,-0.006408691,0.003356934,0.04119873
-0.007629395,-0.000305176,-0.038146973,0.018005371,-0.213928223,-0.006408691,0.003356934,0.04119873
-0.014953613,-0.002746582,-0.030822754,0.016784668,-0.274963379,-0.006408691,0.003356934,0.04119873
-0.022277832,-0.001525879,-0.030822754,0.014343262,-0.300598145,-0.005187988,0.003356934,0.04119873
-0.028381348,-0.002746582,-0.041809082,0.010681152,-0.315246582,-0.003967285,0.003356934,0.039978027
-0.030822754,-0.003967285,-0.05645752,0.004577637,-0.332336426,-0.002746582,0.003356934,0.04119873
-0.029602051,0.00213623,-0.069885254,0.00213623,-0.334777832,-0.002746582,0.004577637,0.04119873
-0.027160645,0.007019043,-0.077209473,-0.000305176,-0.30670166,-0.002746582,0.003356934,0.04119873
-0.024719238,0.00213623,-0.078430176,-0.003967285,-0.239562988,-0.001525879,0.003356934,0.04119873
-0.023498535,-0.001525879,-0.084533691,-0.002746582,-0.156555176,-0.001525879,0.003356934,0.04119873
-0.024719238,0.000915527,-0.093078613,-0.000305176,-0.104064941,-0.000305176,0.003356934,0.04119873
-0.029602051,0.00213623,-0.097961426,-0.001525879,-0.07232666,-0.000305176,0.003356934,0.04119873
-0.034484863,0.004577637,-0.09552002,-0.001525879,-0.044250488,0.000915527,0.003356934,0.04119873
-0.038146973,0.00579834,-0.089416504,-0.002746582,-0.038146973,-0.000305176,0.003356934,0.04119873
-0.039367676,0.004577637,-0.084533691,-0.006408691,-0.046691895,-0.000305176,0.003356934,0.04119873
-0.041809082,0.004577637,-0.082092285,-0.007629395,-0.040588379,0.000915527,0.003356934,0.04119873
-0.044250488,0.004577637,-0.080871582,-0.007629395,-0.019836426,0.000915527,0.003356934,0.04119873
-0.046691895,0.003356934,-0.077209473,-0.006408691,0.009460449,0.00213623,0.003356934,0.04119873
-0.051574707,0.004577637,-0.066223145,-0.007629395,0.035095215,0.00213623,0.003356934,0.04119873
-0.055236816,0.008239746,-0.055236816,-0.010070801,0.046081543,0.00213623,0.003356934,0.04119873
